"","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup"
"24",24,"black","age.gp4","NoTr","Trade","NoGroup",1,0,1,0,0,0,1,0,1,0,0,1,1,0
"25",25,"black","age.gp4","NoTr","Trade","NoGroup",3,0,1,0,2,0,3,0,3,0,0,3,3,0
"26",26,"black","age.gp4","NoTr","Trade","NoGroup",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,"black","age.gp4","NoTr","Trade","NoGroup",4,0,0,1,3,3,1,0,0,4,1,3,1,3
"28",28,"black","age.gp4","NoTr","Trade","NoGroup",5,0,1,2,2,2,2,1,2,3,0,5,4,1
"29",29,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0
"30",30,"black","age.gp4","NoTr","Trade","NoGroup",3,1,0,0,2,2,1,0,1,2,2,1,2,1
"31",31,"black","age.gp4","NoTr","Trade","NoGroup",2,0,0,1,1,1,1,0,0,2,0,2,1,1
"32",32,"black","age.gp4","NoTr","Trade","NoGroup",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,"black","age.gp4","NoTr","Trade","NoGroup",3,0,2,0,1,1,2,0,1,2,0,3,3,0
"34",34,"black","age.gp4","NoTr","Trade","NoGroup",3,0,1,0,2,2,0,1,1,2,0,3,1,2
"35",35,"black","age.gp4","NoTr","Trade","NoGroup",2,0,1,0,1,0,2,0,0,2,0,2,2,0
"36",36,"black","age.gp4","NoTr","Trade","NoGroup",6,0,2,1,3,4,2,0,2,4,1,5,2,4
"37",37,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,1,0,0,1,0,1,0,0,1,1,0
"38",38,"black","age.gp4","NoTr","Trade","NoGroup",2,1,1,0,0,2,0,0,0,2,0,2,1,1
"39",39,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1
"40",40,"black","age.gp4","NoTr","Trade","NoGroup",3,0,0,0,3,2,1,0,0,3,0,3,2,1
"41",41,"black","age.gp4","NoTr","Trade","NoGroup",2,0,0,1,1,1,1,0,0,2,1,1,2,0
"42",42,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,1,0
"43",43,"black","age.gp4","NoTr","Trade","NoGroup",4,0,0,0,4,2,2,0,0,4,0,4,3,1
"44",44,"black","age.gp4","NoTr","Trade","NoGroup",6,0,2,3,1,2,4,0,3,3,0,6,4,2
"45",45,"black","age.gp4","NoTr","Trade","NoGroup",3,0,1,0,2,1,2,0,1,2,0,3,2,1
"46",46,"black","age.gp4","NoTr","Trade","NoGroup",6,0,4,0,2,4,1,1,1,5,1,5,2,4
"47",47,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0
"48",48,"black","age.gp4","NoTr","Trade","NoGroup",4,0,1,1,2,2,2,0,1,3,1,3,2,2
"49",49,"black","age.gp4","NoTr","Trade","NoGroup",1,1,0,0,0,1,0,0,0,1,0,1,0,1
"50",50,"white","age.gp2","Tr","NoTrade","Group",27,5,7,10,5,2,22,3,13,14,5,22,22,5
"51",51,"white","age.gp2","Tr","NoTrade","Group",16,1,7,5,3,3,11,2,3,13,2,14,10,6
"52",52,"white","age.gp2","Tr","NoTrade","Group",25,4,8,5,8,0,22,3,8,17,1,24,19,6
"53",53,"white","age.gp2","Tr","NoTrade","Group",24,3,6,9,6,3,19,2,8,16,0,24,15,9
"54",54,"white","age.gp2","Tr","NoTrade","Group",30,4,18,7,1,3,22,5,18,12,1,29,19,11
"55",55,"black","age.gp2","NoTr","NoTrade","NoGroup",7,1,2,2,2,4,3,0,1,6,1,6,2,5
"56",56,"black","age.gp2","NoTr","NoTrade","NoGroup",6,1,2,2,1,4,2,0,2,4,1,5,3,3
"57",57,"black","age.gp2","NoTr","NoTrade","NoGroup",10,2,7,1,0,6,4,0,2,8,0,10,4,6
"58",58,"black","age.gp2","NoTr","NoTrade","NoGroup",4,0,3,1,0,3,1,0,1,3,0,4,2,2
"59",59,"black","age.gp2","NoTr","NoTrade","NoGroup",3,1,2,0,0,2,1,0,2,1,1,2,2,1
"60",60,"white","age.gp4","NoTr","NoTrade","Group",7,0,0,1,6,1,6,0,3,4,0,7,4,3
"61",61,"white","age.gp4","NoTr","NoTrade","Group",9,1,3,1,4,2,7,0,2,7,0,9,8,1
"62",62,"white","age.gp4","NoTr","NoTrade","Group",17,5,0,2,10,1,15,1,3,14,1,16,8,9
"63",63,"white","age.gp4","NoTr","NoTrade","Group",11,1,1,1,8,3,8,0,2,9,0,11,4,7
"64",64,"white","age.gp4","NoTr","NoTrade","Group",11,0,5,3,3,0,10,1,5,6,1,10,10,1
"65",65,"white","age.gp4","NoTr","NoTrade","Group",14,1,5,3,5,0,14,0,6,8,0,14,12,2
"66",66,"white","age.gp4","NoTr","NoTrade","Group",7,0,1,3,3,2,5,0,3,4,0,7,4,3
"67",67,"white","age.gp4","NoTr","NoTrade","Group",12,0,0,4,8,2,10,0,4,8,1,11,5,7
"68",68,"white","age.gp4","NoTr","NoTrade","Group",10,0,3,2,5,2,8,0,3,7,0,10,8,2
"69",69,"white","age.gp4","NoTr","NoTrade","Group",16,1,1,7,7,3,13,0,5,11,2,14,12,4
"70",70,"white","age.gp4","NoTr","NoTrade","Group",11,1,0,3,7,1,9,1,3,8,0,11,6,5
"71",71,"white","age.gp4","NoTr","NoTrade","Group",11,2,3,0,6,0,11,0,7,4,2,9,9,2
"72",72,"white","age.gp4","NoTr","NoTrade","Group",15,1,1,4,9,0,15,0,7,8,1,14,11,4
"73",73,"white","age.gp4","NoTr","NoTrade","Group",12,1,3,1,7,1,10,1,2,10,1,11,9,3
"74",74,"white","age.gp4","NoTr","NoTrade","Group",11,0,4,3,4,1,10,0,8,3,0,11,9,2
"75",75,"white","age.gp4","NoTr","NoTrade","Group",16,5,2,2,7,1,12,3,4,12,4,12,12,4
"76",76,"white","age.gp4","NoTr","NoTrade","Group",15,2,0,0,13,1,13,1,4,11,0,15,8,7
"77",77,"white","age.gp4","NoTr","NoTrade","Group",9,1,1,1,6,2,7,0,4,5,1,8,7,2
"78",78,"white","age.gp4","NoTr","NoTrade","Group",10,1,2,1,6,3,7,0,4,6,1,9,8,2
"79",79,"white","age.gp4","NoTr","NoTrade","Group",9,0,3,2,4,0,8,1,5,4,0,9,6,3
"80",80,"white","age.gp4","NoTr","NoTrade","Group",10,0,1,2,7,1,9,0,4,6,0,10,7,3
"81",81,"white","age.gp4","NoTr","NoTrade","Group",9,1,1,0,7,0,9,0,1,8,0,9,9,0
"82",82,"white","age.gp4","NoTr","NoTrade","Group",12,1,3,3,5,2,10,0,4,8,1,11,8,4
"83",83,"white","age.gp4","NoTr","NoTrade","Group",16,0,3,4,9,1,14,1,3,13,1,15,10,6
"84",84,"white","age.gp4","NoTr","NoTrade","Group",10,0,3,1,6,1,9,0,4,6,0,10,8,2
"85",85,"white","age.gp4","NoTr","NoTrade","Group",18,1,1,2,14,1,16,1,7,11,0,18,12,6
"86",86,"white","age.gp4","NoTr","NoTrade","Group",14,2,4,2,6,2,9,3,4,10,2,12,7,7
"87",87,"white","age.gp4","NoTr","NoTrade","Group",9,1,2,0,6,1,7,1,2,7,1,8,6,3
"88",88,"white","age.gp4","NoTr","NoTrade","Group",8,0,3,1,4,0,7,1,5,3,1,7,3,5
"89",89,"white","age.gp4","NoTr","NoTrade","Group",10,1,2,3,4,1,8,1,3,7,0,10,6,4
"90",90,"white","age.gp4","NoTr","NoTrade","Group",12,0,3,2,7,1,10,1,5,7,0,12,8,4
"91",91,"white","age.gp4","NoTr","NoTrade","Group",13,0,5,2,6,1,11,1,6,7,0,13,11,2
"92",92,"white","age.gp3","NoTr","NoTrade","Group",23,1,11,6,5,3,18,2,9,14,1,22,16,7
"93",93,"white","age.gp3","NoTr","NoTrade","Group",15,2,6,4,3,0,14,1,6,9,0,15,10,5
"94",94,"white","age.gp3","NoTr","NoTrade","Group",19,2,9,4,4,0,12,7,8,11,0,19,14,5
"95",95,"white","age.gp3","NoTr","NoTrade","Group",28,4,11,5,8,4,21,3,10,18,1,27,17,11
"96",96,"white","age.gp3","NoTr","NoTrade","Group",14,1,8,3,2,2,10,2,7,7,1,13,13,1
"97",97,"white","age.gp3","NoTr","NoTrade","Group",17,0,6,6,5,3,14,0,5,12,1,16,11,6
"98",98,"white","age.gp3","NoTr","NoTrade","Group",16,1,4,5,6,3,13,0,7,9,2,14,15,1
"99",99,"white","age.gp3","NoTr","NoTrade","Group",26,2,11,8,5,3,20,3,12,14,0,26,17,9
"100",100,"white","age.gp3","NoTr","NoTrade","Group",26,3,9,9,5,3,20,3,11,15,1,25,16,10
"101",101,"white","age.gp3","NoTr","NoTrade","Group",8,3,1,1,3,1,6,1,2,6,1,7,6,2
"102",102,"white","age.gp3","NoTr","NoTrade","Group",14,1,6,4,3,1,13,0,2,12,0,14,9,5
"103",103,"white","age.gp3","NoTr","NoTrade","Group",20,4,3,9,4,8,12,0,4,16,3,17,9,11
"104",104,"white","age.gp3","NoTr","NoTrade","Group",14,2,8,4,0,0,13,1,9,5,1,13,9,5
"105",105,"white","age.gp3","NoTr","NoTrade","Group",17,3,5,8,1,0,16,1,10,7,2,15,11,6
"106",106,"white","age.gp3","NoTr","NoTrade","Group",18,3,6,3,6,1,16,1,6,12,0,18,12,6
"107",107,"white","age.gp2","NoTr","NoTrade","NoGroup",11,3,5,1,2,0,10,1,7,4,1,10,5,6
"108",108,"white","age.gp2","NoTr","NoTrade","NoGroup",11,1,5,2,3,1,8,2,5,6,0,11,9,2
"109",109,"white","age.gp2","NoTr","NoTrade","NoGroup",7,1,1,2,3,0,7,0,1,6,0,7,6,1
"110",110,"white","age.gp2","NoTr","NoTrade","NoGroup",7,0,3,2,2,1,4,2,2,5,0,7,3,4
"111",111,"white","age.gp2","NoTr","NoTrade","NoGroup",11,3,3,2,3,0,8,3,4,7,2,9,7,4
"112",112,"white","age.gp3","NoTr","NoTrade","NoGroup",14,1,7,3,3,3,10,1,5,9,2,12,11,3
"113",113,"white","age.gp3","NoTr","NoTrade","NoGroup",10,0,3,3,4,1,9,0,2,8,2,8,7,3
"114",114,"white","age.gp3","NoTr","NoTrade","NoGroup",1,1,0,0,0,0,1,0,1,0,0,1,0,1
"115",115,"white","age.gp3","NoTr","NoTrade","NoGroup",7,0,6,1,0,1,6,0,4,3,2,5,7,0
"116",116,"white","age.gp3","NoTr","NoTrade","NoGroup",11,0,6,3,2,1,10,0,5,6,2,9,8,3
"117",117,"white","age.gp3","NoTr","NoTrade","NoGroup",8,1,4,2,1,1,7,0,3,5,2,6,3,5
"118",118,"white","age.gp3","NoTr","NoTrade","NoGroup",10,2,3,3,2,1,9,0,0,10,1,9,6,4
"119",119,"white","age.gp3","NoTr","NoTrade","NoGroup",9,0,5,1,3,0,8,1,5,4,0,9,6,3
"120",120,"white","age.gp3","NoTr","NoTrade","NoGroup",7,2,3,0,2,1,5,1,2,5,1,6,3,4
"121",121,"white","age.gp3","NoTr","NoTrade","NoGroup",9,0,4,3,2,2,7,0,0,9,3,6,9,0
"122",122,"white","age.gp3","NoTr","NoTrade","NoGroup",7,1,3,1,2,0,6,1,4,3,1,6,4,3
"123",123,"white","age.gp3","NoTr","NoTrade","NoGroup",9,1,3,2,3,1,8,0,6,3,0,9,5,4
"124",124,"white","age.gp3","NoTr","NoTrade","NoGroup",3,1,0,0,2,0,2,1,0,3,1,2,1,2
"125",125,"white","age.gp3","NoTr","NoTrade","NoGroup",11,0,4,5,2,0,11,0,2,9,0,11,9,2
"126",126,"white","age.gp3","NoTr","NoTrade","NoGroup",7,0,3,3,1,0,5,2,5,2,1,6,2,5
"127",127,"white","age.gp1","NoTr","NoTrade","NoGroup",8,6,0,1,1,1,4,3,2,6,0,8,2,6
"128",128,"white","age.gp1","NoTr","NoTrade","NoGroup",15,6,6,2,1,2,11,2,5,10,1,14,7,8
"129",129,"white","age.gp1","NoTr","NoTrade","NoGroup",17,8,3,1,5,2,12,3,5,12,4,13,9,8
"130",130,"white","age.gp1","NoTr","NoTrade","NoGroup",5,2,2,1,0,0,3,2,3,2,0,5,2,3
"131",131,"white","age.gp1","NoTr","NoTrade","NoGroup",7,1,2,2,2,0,6,1,2,5,0,7,6,1
"132",132,"white","age.gp2","NoTr","NoTrade","NoGroup",11,0,6,4,1,2,8,1,5,6,0,11,5,6
"133",133,"white","age.gp2","NoTr","NoTrade","NoGroup",11,2,6,2,1,0,8,3,6,5,3,8,8,3
"134",134,"white","age.gp2","NoTr","NoTrade","NoGroup",9,0,6,3,0,1,8,0,4,5,1,8,5,4
"135",135,"white","age.gp2","NoTr","NoTrade","NoGroup",7,1,3,2,1,0,6,1,2,5,1,6,5,2
"136",136,"white","age.gp2","NoTr","NoTrade","NoGroup",6,1,1,2,2,0,5,1,2,4,0,6,3,3
"137",137,"white","age.gp2","NoTr","NoTrade","NoGroup",9,0,4,3,2,0,9,0,4,5,0,9,6,3
"138",138,"white","age.gp2","NoTr","NoTrade","NoGroup",13,1,4,2,6,1,12,0,5,8,1,12,10,3
"139",139,"white","age.gp2","NoTr","NoTrade","NoGroup",6,0,2,4,0,0,6,0,5,1,0,6,3,3
"140",140,"white","age.gp2","NoTr","NoTrade","NoGroup",8,1,2,4,1,0,7,1,2,6,0,8,5,3
"141",141,"white","age.gp2","NoTr","NoTrade","NoGroup",6,0,1,2,3,2,4,0,1,5,0,6,4,2
"142",142,"white","age.gp3","NoTr","NoTrade","Group",13,1,2,7,3,1,11,1,4,9,1,12,10,3
"143",143,"white","age.gp3","NoTr","NoTrade","Group",21,2,10,6,3,0,20,1,7,14,1,20,15,6
"144",144,"white","age.gp3","NoTr","NoTrade","Group",21,1,10,5,5,1,19,1,11,10,0,21,15,6
"145",145,"white","age.gp3","NoTr","NoTrade","Group",20,2,7,5,6,2,16,2,6,14,1,19,9,11
"146",146,"white","age.gp3","NoTr","NoTrade","Group",23,3,9,3,8,2,18,3,8,15,2,21,14,9
"147",147,"white","age.gp3","NoTr","NoTrade","Group",23,3,6,9,5,1,21,1,8,15,0,23,14,9
"148",148,"white","age.gp3","NoTr","NoTrade","Group",25,2,8,8,7,1,22,2,11,14,2,23,14,11
"149",149,"white","age.gp3","NoTr","NoTrade","Group",15,2,4,4,5,2,11,2,8,7,1,14,11,4
"150",150,"white","age.gp3","NoTr","NoTrade","Group",23,7,6,6,4,0,21,2,8,15,2,21,18,5
"151",151,"white","age.gp3","NoTr","NoTrade","Group",12,0,5,4,3,2,8,2,6,6,0,12,7,5
"152",152,"white","age.gp3","NoTr","NoTrade","Group",11,2,6,0,3,1,9,1,5,6,1,10,10,1
"153",153,"white","age.gp3","NoTr","NoTrade","Group",17,2,9,4,2,1,15,1,5,12,2,15,13,4
"154",154,"white","age.gp3","NoTr","NoTrade","Group",20,2,4,7,7,4,16,0,5,15,2,18,12,8
"155",155,"white","age.gp3","NoTr","NoTrade","Group",18,3,4,6,5,2,13,3,6,12,1,17,10,8
"156",156,"white","age.gp3","NoTr","NoTrade","Group",20,1,9,5,5,2,15,3,9,11,2,18,12,8
"157",157,"white","age.gp1","NoTr","NoTrade","Group",27,9,5,9,4,1,24,2,6,21,2,25,18,9
"158",158,"white","age.gp1","NoTr","NoTrade","Group",27,15,6,1,5,1,20,6,6,21,2,25,14,13
"159",159,"white","age.gp1","NoTr","NoTrade","Group",26,16,4,2,4,2,16,8,9,17,1,25,10,16
"160",160,"white","age.gp1","NoTr","NoTrade","Group",25,15,4,2,4,1,19,5,9,16,4,21,15,10
"161",161,"white","age.gp1","NoTr","NoTrade","Group",23,6,5,5,7,0,18,5,14,9,3,20,16,7
"162",162,"white","age.gp3","NoTr","NoTrade","NoGroup",7,0,3,1,3,2,4,1,2,5,0,7,2,5
"163",163,"white","age.gp3","NoTr","NoTrade","NoGroup",7,2,2,0,3,1,5,1,4,3,1,6,2,5
"164",164,"white","age.gp3","NoTr","NoTrade","NoGroup",10,0,4,3,3,1,8,1,6,4,0,10,8,2
"165",165,"white","age.gp3","NoTr","NoTrade","NoGroup",9,1,0,3,5,1,7,1,4,5,0,9,6,3
"166",166,"white","age.gp3","NoTr","NoTrade","NoGroup",6,1,3,0,2,0,6,0,3,3,1,5,5,1
"167",167,"white","age.gp3","NoTr","NoTrade","NoGroup",14,4,3,5,2,2,11,1,3,11,2,12,10,4
"168",168,"white","age.gp3","NoTr","NoTrade","NoGroup",7,2,4,1,0,1,5,1,3,4,0,7,6,1
"169",169,"white","age.gp3","NoTr","NoTrade","NoGroup",10,1,5,1,3,1,9,0,6,4,1,9,9,1
"170",170,"white","age.gp3","NoTr","NoTrade","NoGroup",5,0,4,1,0,0,4,1,3,2,1,4,5,0
"171",171,"white","age.gp3","NoTr","NoTrade","NoGroup",7,0,4,3,0,0,4,3,1,6,0,7,4,3
"172",172,"white","age.gp3","NoTr","NoTrade","NoGroup",2,0,2,0,0,0,2,0,0,2,0,2,2,0
"173",173,"white","age.gp3","NoTr","NoTrade","NoGroup",9,2,4,1,2,2,6,1,4,5,2,7,6,3
"174",174,"white","age.gp3","NoTr","NoTrade","NoGroup",10,3,2,3,2,0,9,1,2,8,1,9,5,5
"175",175,"white","age.gp3","NoTr","NoTrade","NoGroup",4,0,2,1,1,1,3,0,1,3,0,4,2,2
"176",176,"white","age.gp3","NoTr","NoTrade","NoGroup",8,1,5,1,1,0,7,1,6,2,2,6,7,1
"177",177,"white","age.gp3","Tr","NoTrade","NoGroup",10,1,5,2,2,2,7,1,4,6,2,8,5,5
"178",178,"white","age.gp3","Tr","NoTrade","NoGroup",11,1,6,2,2,0,9,2,4,7,0,11,6,5
"179",179,"white","age.gp3","Tr","NoTrade","NoGroup",7,0,6,0,1,1,3,3,2,5,0,7,2,5
"180",180,"white","age.gp3","Tr","NoTrade","NoGroup",5,0,3,1,1,0,4,1,3,2,1,4,4,1
"181",181,"white","age.gp3","Tr","NoTrade","NoGroup",6,0,2,2,2,0,4,2,2,4,0,6,4,2
"182",182,"white","age.gp3","Tr","NoTrade","NoGroup",7,0,2,3,2,0,6,1,3,4,0,7,5,2
"183",183,"white","age.gp3","Tr","NoTrade","NoGroup",6,1,1,3,1,0,6,0,3,3,1,5,4,2
"184",184,"white","age.gp3","Tr","NoTrade","NoGroup",9,1,2,1,5,0,8,1,3,6,1,8,7,2
"185",185,"white","age.gp3","Tr","NoTrade","NoGroup",14,2,5,3,4,1,12,1,6,8,0,14,5,9
"186",186,"white","age.gp3","Tr","NoTrade","NoGroup",5,1,1,1,2,0,5,0,2,3,2,3,3,2
"187",187,"white","age.gp3","Tr","NoTrade","NoGroup",5,0,4,1,0,0,4,1,3,2,0,5,2,3
"188",188,"white","age.gp3","Tr","NoTrade","NoGroup",13,3,2,6,2,1,12,0,2,11,2,11,9,4
"189",189,"white","age.gp3","Tr","NoTrade","NoGroup",6,1,1,0,4,0,5,1,3,3,0,6,4,2
"190",190,"white","age.gp3","Tr","NoTrade","NoGroup",11,2,5,4,0,0,7,4,6,5,1,10,7,4
"191",191,"white","age.gp3","Tr","NoTrade","NoGroup",10,1,3,3,3,1,7,2,1,9,0,10,4,6
"192",192,"white","age.gp2","Tr","NoTrade","NoGroup",8,0,7,0,1,1,6,1,1,7,0,8,4,4
"193",193,"white","age.gp2","Tr","NoTrade","NoGroup",14,0,9,1,4,0,11,3,7,7,0,14,7,7
"194",194,"white","age.gp2","Tr","NoTrade","NoGroup",14,1,8,2,3,3,11,0,2,12,3,11,8,6
"195",195,"white","age.gp2","Tr","NoTrade","NoGroup",10,1,4,3,2,0,9,1,4,6,1,9,5,5
"196",196,"white","age.gp2","Tr","NoTrade","NoGroup",10,2,2,3,3,0,10,0,2,8,0,10,7,3
"197",197,"other","age.gp2","Tr","NoTrade","NoGroup",2,0,0,2,0,0,2,0,0,2,0,2,1,1
"198",198,"other","age.gp2","Tr","NoTrade","NoGroup",10,1,4,4,1,1,9,0,3,7,0,10,7,3
"199",199,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,3,1,0,1,3,0,2,2,1,3,2,2
"200",200,"other","age.gp2","Tr","NoTrade","NoGroup",4,1,0,1,2,0,3,1,0,4,1,3,4,0
"201",201,"other","age.gp2","Tr","NoTrade","NoGroup",6,0,0,3,3,1,5,0,2,4,1,5,5,1
"202",202,"other","age.gp2","Tr","NoTrade","NoGroup",5,0,2,3,0,0,5,0,3,2,1,4,3,2
"203",203,"other","age.gp2","Tr","NoTrade","NoGroup",3,0,0,2,1,1,2,0,0,3,0,3,2,1
"204",204,"other","age.gp2","Tr","NoTrade","NoGroup",7,0,3,2,2,1,6,0,3,4,1,6,6,1
"205",205,"other","age.gp2","Tr","NoTrade","NoGroup",7,1,1,3,2,1,6,0,2,5,0,7,3,4
"206",206,"other","age.gp2","Tr","NoTrade","NoGroup",3,0,1,1,1,0,3,0,1,2,0,3,1,2
"207",207,"other","age.gp2","Tr","NoTrade","NoGroup",3,0,3,0,0,0,3,0,2,1,0,3,2,1
"208",208,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,2,1,1,1,3,0,2,2,0,4,4,0
"209",209,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,2,1,1,1,3,0,0,4,0,4,2,2
"210",210,"other","age.gp2","Tr","NoTrade","NoGroup",8,1,3,2,2,0,8,0,2,6,0,8,3,5
"211",211,"other","age.gp2","Tr","NoTrade","NoGroup",3,0,0,1,2,1,2,0,0,3,0,3,0,3
"212",212,"other","age.gp2","Tr","NoTrade","NoGroup",6,1,2,3,0,0,6,0,4,2,1,5,5,1
"213",213,"other","age.gp2","Tr","NoTrade","NoGroup",3,2,0,1,0,1,2,0,1,2,1,2,0,3
"214",214,"other","age.gp2","Tr","NoTrade","NoGroup",2,0,1,1,0,0,2,0,1,1,0,2,2,0
"215",215,"other","age.gp2","Tr","NoTrade","NoGroup",3,0,1,1,1,0,3,0,1,2,0,3,3,0
"216",216,"other","age.gp2","Tr","NoTrade","NoGroup",2,0,0,2,0,0,2,0,0,2,1,1,2,0
"217",217,"other","age.gp2","Tr","NoTrade","NoGroup",3,1,1,1,0,0,3,0,3,0,0,3,2,1
"218",218,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,1,3,0,1,3,0,1,3,1,3,2,2
"219",219,"other","age.gp2","Tr","NoTrade","NoGroup",2,0,0,1,1,0,2,0,2,0,0,2,2,0
"220",220,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,2,1,1,0,4,0,2,2,0,4,2,2
"221",221,"other","age.gp2","Tr","NoTrade","NoGroup",5,0,2,1,2,1,4,0,0,5,1,4,4,1
"222",222,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,3,0,1,0,4,0,2,2,0,4,1,3
"223",223,"other","age.gp2","Tr","NoTrade","NoGroup",4,0,2,1,1,0,4,0,2,2,0,4,3,1
"224",224,"black","age.gp2","NoTr","NoTrade","NoGroup",9,1,4,2,2,5,4,0,1,8,2,7,6,3
"225",225,"black","age.gp2","NoTr","NoTrade","NoGroup",3,1,1,1,0,1,1,1,1,2,0,3,3,0
"226",226,"black","age.gp2","NoTr","NoTrade","NoGroup",13,1,7,3,2,7,6,0,3,10,3,10,6,7
"227",227,"black","age.gp2","NoTr","NoTrade","NoGroup",11,0,5,5,1,5,6,0,3,8,0,11,6,5
"228",228,"black","age.gp2","NoTr","NoTrade","NoGroup",14,1,3,8,2,8,5,1,5,9,2,12,7,7
"229",229,"white","age.gp2","Tr","NoTrade","Group",32,2,16,7,7,4,27,1,10,22,1,31,21,11
"230",230,"white","age.gp2","Tr","NoTrade","Group",25,2,11,5,7,1,19,5,8,17,3,22,18,7
"231",231,"white","age.gp2","Tr","NoTrade","Group",20,1,12,4,3,0,18,2,12,8,2,18,14,6
"232",232,"white","age.gp2","Tr","NoTrade","Group",21,1,7,6,7,3,17,1,9,12,2,19,12,9
"233",233,"white","age.gp2","Tr","NoTrade","Group",19,2,8,5,4,1,17,1,8,11,1,18,16,3
"234",234,"white","age.gp2","Tr","NoTrade","Group",22,1,13,5,3,4,17,1,7,15,3,19,14,8
"235",235,"white","age.gp2","Tr","NoTrade","Group",15,0,5,6,4,1,13,1,6,9,1,14,10,5
"236",236,"white","age.gp2","Tr","NoTrade","Group",22,2,7,8,5,2,17,3,3,19,1,21,11,11
"237",237,"white","age.gp2","Tr","NoTrade","Group",26,1,13,5,7,3,21,2,10,16,4,22,20,6
"238",238,"white","age.gp2","Tr","NoTrade","Group",24,2,11,7,4,4,18,2,3,21,3,21,15,9
"239",239,"white","age.gp2","Tr","NoTrade","Group",23,2,12,3,6,1,21,1,12,11,2,21,10,13
"240",240,"white","age.gp2","Tr","NoTrade","Group",20,2,10,4,4,4,11,5,7,13,3,17,10,10
"241",241,"white","age.gp2","Tr","NoTrade","Group",24,3,10,7,4,1,23,0,10,14,4,20,19,5
